"scientific_name","species","subspecies","subfamily","cites_annex","iucn_category","individuals","sex","superclass","cell_line","karyotype","dna","rna","wgs_sequencing","rna_seq","i_psc","tissue_of_origin","alternative_name","species_","taxon_id","synonym","tolid_prefix","assembly_id","assembly_name","genbank_accession","refseq_accession","genus","family","order","class","phylum","kingdom","superkingdom","genome_size","genome_size_draft","c_value","chromosome_number","haploid_number","assembly_level","assembly_span","assembly_date","contig_n50","scaffold_n50","chromosome_count","busco_completeness","gene_count","sequencing_status","published","TOGA_species","common_name","ploidy","refseq","ensembl","genome_match","ref_genome","divergence_mya_adj","taxon_id_ref","precomputed_age","adjusted_age","toga_assembly_name_ref","TOGA_ref","zoonomia","genome","annotation","individuals_cl","cell_lines","fibro","pbmc","ipsc","fibro_l","nspecies","cat","cat_num","silencer","illumina","tetrapod","selected","project","TOGA","annotation_level","fibro2","to_process","order2"
"Agapornis nigrigenis","Agapornis nigrigenis",NA,NA,"II","VULNERABLE",7,"M/F/M/U/F/U/F/M","Birds","Fibro",NA,"X",NA,"x",NA,NA,NA,NA,"Agapornis_nigrigenis","60465","Agapornis nigrigensis","bAgaNig","GCA_035041115.1",NA,"GCA_035041115.1",NA,"Agapornis","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1281180000,NA,1.3095703125,48,24,"Scaffold",1043489132,"2024-01-03",66169,81463,NA,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Agapornis nigrigenis",1e-4,NA,NA,NA,"HLagaNigr1","toga2",FALSE,TRUE,TRUE,11,2,2,0,0,TRUE,11,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",2,2,"Psittaciformes"
"Aratinga solstitialis","Aratinga solstitialis",NA,NA,"II","ENDANGERED",1,"-","Birds","Fibro",NA,"X","X","X","X",NA,"Tissue/Trachea",NA,"Aratinga_solstitialis","176015","Aratinga solstitialis solstitialis; Psittacus solstitialis","bAraSol","GCA_009867195.2",NA,"GCA_009867195.2",NA,"Aratinga","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1339860000,NA,1.3701171875,70,35,"Scaffold",1150546593,"2019-11-14",18913,28756,NA,NA,NA,"insdc_open",NA,"toga2","Sun Parakeet,list(""common_name"")",2,FALSE,FALSE,"species","Aratinga solstitialis",1e-4,NA,NA,NA,"HLaraSol1","toga2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Ara chloropterus","Ara chloropterus",NA,NA,"II","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X",NA,"X",NA,NA,"Trachea",NA,"Ara_chloropterus","176013","Ara chloroptera","bAraChl","GCA_010014725.2",NA,"GCA_010014725.2",NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1447440000,NA,1.48046875,68,34,"Scaffold",1164831351,"2022-11-27",4271,19108,NA,NA,NA,"insdc_open",NA,"toga1/2","Red-and-green Macaw,list(""common_name"")",2,FALSE,FALSE,"species","Ara chloropterus",1e-4,NA,NA,NA,"HLaraChl1","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Ara ararauna","Ara ararauna",NA,NA,"II","LEAST CONCERN",2,"M/U","Birds","Fibro",NA,"X",NA,"x",NA,NA,"Trachea",NA,"Ara_ararauna","9226","Psittacus ararauna","bAraAra","GCA_028858555.1",NA,"GCA_028858555.1",NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1418100000,NA,1.4501953125,70,35,"Chromosome",1302242811,"2023-02-24",30109517,109732589,31,NA,19718,"insdc_open",NA,"toga1/2","Blue-and-yellow macaw,list(""common_name"")",2,FALSE,FALSE,"species","Ara ararauna",1e-4,NA,NA,NA,"HLaraArar2A","toga1/2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",TRUE,"TOGA",1,1,"Psittaciformes"
"Ara rubrogenys","Ara rubrogenys",NA,NA,"I","CRITICALLY ENDANGERED",1,"F?","Birds","Fibro",NA,"X",NA,"X",NA,NA,NA,NA,"Ara_rubrogenys","467030",NA,"bAraRub","GCA_917880015.2",NA,"GCA_917880015.2",NA,"Ara","Psittacidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1374090000,NA,1.4052734375,70,33,"Scaffold",1161924866,"2022-01-30",46382249,46382249,NA,NA,NA,"insdc_open",NA,"toga1/2","Red-fronted macaw,list(""common_name"")",2.121212121212121,FALSE,FALSE,"species","Ara rubrogenys",1e-4,NA,NA,NA,"HLaraRub1","toga1/2",FALSE,TRUE,TRUE,2,1,1,0,0,TRUE,11,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",1,1,"Psittaciformes"
"Eos reticulata","Eos reticulata",NA,NA,"II","NEAR THREATENED",1,"F","Birds","Fibro",NA,NA,NA,"X",NA,NA,"Trachea",NA,"Eos_reticulata","176075","Psittacus reticulatus; Eos reticulara","bEosRet","GCA_024363085.1",NA,"GCA_024363085.1",NA,"Eos","Psittaculidae","Psittaciformes","Aves","Chordata","Metazoa","Eukaryota",1300740000,NA,1.330078125,72,32,"Scaffold",1091480539,"2022-07-21",13006,25275,NA,NA,NA,"insdc_open",NA,NA,NA,2.25,FALSE,FALSE,"genus","Eos semilarvata",1.777655,"1549147",1.777655,1.77766,NA,"not_in_toga",FALSE,TRUE,NA,1,1,1,0,0,TRUE,11,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",FALSE,"no_annotation",1,1,"Psittaciformes"
"Cyanocorax yncas","Cyanocorax yncas",NA,NA,"-","LEAST CONCERN",1,"F","Birds","Fibro",NA,"X","X",NA,"X",NA,"Trachea",NA,"Cyanocorax_yncas","114085","Corvus yncas","bCyaYnc","GCA_048174265.1",NA,"GCA_048174265.1",NA,"Cyanocorax","Corvidae","Passeriformes","Aves","Chordata","Metazoa","Eukaryota",1232280000,NA,1.271484375,80,40,"Contig",1185719108,"2025-02-27",13535775,13535775,NA,NA,NA,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Cyanocorax yucatanicus",7.5662,"402026",7.5662,0,"HLcyaYuca1","toga2",FALSE,TRUE,NA,1,1,1,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Other"
"Copsychus malabaricus","Copsychus malabaricus",NA,NA,"II","LEAST CONCERN",3,"U/U/F","Birds","Fibro",NA,"X","X","X",NA,NA,"Trachea",NA,"Copsychus_malabaricus","1948888","Muscicapa malabarica",NA,"GCA_054084125.1",NA,"GCA_054084125.1",NA,"Copsychus","Muscicapidae","Passeriformes","Aves","Chordata","Metazoa","Eukaryota",1300740000,NA,1.330078125,78,39,"Chromosome",1384301290,"2025-12-18",13305154,68559407,NA,94.80000000000001,16238,"insdc_open",NA,NA,NA,2,FALSE,FALSE,"genus","Copsychus sechellarum",8.61802,"797021",8.61802,7.44026,"HLcopSech2A","toga1/2",FALSE,TRUE,TRUE,3,1,1,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",1,1,"Other"
"Procavia capensis","Procavia capensis",NA,NA,NA,"LEAST CONCERN",2,"F/U","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Procavia_capensis","9813","Cavia capensis; Hyrax capensis","mProCap","GCA_004026925.3",NA,"GCA_004026925.3",NA,"Procavia","Procaviidae","Hyracoidea","Mammalia","Chordata","Metazoa","Eukaryota",3970679999,NA,4.05859375,54,27,"Scaffold",3705616399,"2014-12-16",38095,135437473,NA,93.10000000000001,NA,"published","ZOONOMIA","toga1/2","Rock hyrax,list(""common_name"")",2,FALSE,TRUE,"species","Procavia capensis",1e-4,NA,NA,NA,"HLproCap4","toga1/2",TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,1,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/ensembl",2,2,"Other"
"Oryctolagus cuniculus","Oryctolagus cuniculus",NA,NA,"-","ENDANGERED",1,"-","Mammalia","Fibro",NA,NA,NA,"x","x",NA,"Tissue",NA,"Oryctolagus_cuniculus","9986","Lepus cuniculus; Oryctogalus fodiens; Oryctolagus cnossius; Oryctolagus cuniculus borkumensis","mOryCun","GCA_964237555.1",NA,"GCA_964237555.1","GCF_964237555.1","Oryctolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa","Eukaryota",3188280000,NA,3.259765625,44,22,"Chromosome",2804657419,"2024-08-31",2030165,144279705,22,94.7,NA,"insdc_open",NA,"toga1/2","European rabbit,list(""common_name"")",2,TRUE,TRUE,"species","Oryctolagus cuniculus",1e-4,NA,NA,NA,"HLoryCuni6","toga1/2",TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,2,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/refseq/ensembl",1,1,"Other"
"Oryctolagus cuniculus ibicea","Oryctolagus cuniculus","ibicea",NA,"-","NA",1,"F","Mammalia","Fibro",NA,"X","X",NA,"X",NA,"Tissue","Ibicean Rabbit","Oryctolagus_cuniculus","9986","Lepus cuniculus; Oryctogalus fodiens; Oryctolagus cnossius; Oryctolagus cuniculus borkumensis","mOryCun","GCA_964237555.1",NA,"GCA_964237555.1","GCF_964237555.1","Oryctolagus","Leporidae","Lagomorpha","Mammalia","Chordata","Metazoa","Eukaryota",3188280000,NA,3.259765625,44,22,"Chromosome",2804657419,"2024-08-31",2030165,144279705,22,94.7,NA,"insdc_open",NA,"toga1/2","list(""common_name"")",2,TRUE,TRUE,"species","Oryctolagus cuniculus",1e-4,NA,NA,NA,"HLoryCuni6","toga1/2",TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,2,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/refseq/ensembl",1,1,"Other"
"Loxodonta africana","Loxodonta africana",NA,NA,NA,"ENDANGERED",3,"M/F/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Loxodonta_africana","9785","Elephas africanus; Loxodonta africana africana; Elephas africanus cavendishi; Elephas capensis; Elephas capensis knochenhaueri; Elephas capensis oxyotis","mLoxAfr","GCA_032717405.1",NA,"GCA_032717405.1",NA,"Loxodonta","Elephantidae","Proboscidea","Mammalia","Chordata","Metazoa","Eukaryota",4342320000,NA,4.44140625,56,28,"Chromosome",3104041151,"2023-05-16",64227854,122926248,28,NA,28964,"insdc_open",NA,"toga1/2","African Savanna Elephant,list(""common_name"")",2,TRUE,TRUE,"species","Loxodonta africana",1e-4,NA,NA,NA,"HLloxAfr5A","toga1/2",TRUE,TRUE,TRUE,3,3,3,0,0,TRUE,2,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/refseq/ensembl",3,2,"Other"
"Elephas maximus sumatranus","Elephas maximus","sumatranus",NA,NA,NA,1,"M","Mammalia","Fibro",NA,NA,"X","X",NA,NA,"Tissue (ear)/Umbellical Cordon/Placenta",NA,"Elephas_maximus","9783","Elephas asiaticus; Elephas gigas","mEleMax","GCA_032718585.1",NA,"GCA_032718585.1",NA,"Elephas","Elephantidae","Proboscidea","Mammalia","Chordata","Metazoa","Eukaryota",3941340000,NA,4.03125,56,28,"Chromosome",3329733255,"2023-10-26",49989079,121677346,28,94.2,NA,"insdc_open",NA,"toga1/2","Sumatran elephant,list(""common_name"")",2,FALSE,FALSE,"species","Elephas maximus",1e-4,NA,NA,NA,"HLeleMax2","toga1/2",TRUE,TRUE,TRUE,1,2,2,0,0,TRUE,2,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",2,2,"Other"
"Notamacropus rufogriseus","Notamacropus rufogriseus",NA,NA,"-","LEAST CONCERN",9,"M/M/M/F/U/M/F/F/M/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Notamacropus_rufogriseus","1960652","Kangurus rufogriseus; Macropus rufogriseus","mNotRuf",NA,NA,NA,NA,"Notamacropus","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa","Eukaryota",4371659999,NA,4.46875,16,8,"Contig",1394447,"2021-01-28",938,938,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Notamacropus rufogriseus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,10,8,8,0,0,TRUE,3,"Both",1,FALSE,TRUE,FALSE,TRUE,"illumina",FALSE,"no_annotation",8,2,"Diprotodontia"
"Petrogale xanthopus","Petrogale xanthopus",NA,"Macropodinae","-","NEAR THREATENED",2,"M/?","Mammalia","Fibro","X","X","x","x",NA,NA,"Tissue",NA,"Petrogale_xanthopus","9325",NA,"mPetXan",NA,NA,NA,NA,"Petrogale","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa","Eukaryota",3970680000,NA,4.05859375,16,8,"Contig",2387784,"2021-01-28",1261,1261,NA,NA,NA,"insdc_open",NA,"not_in_toga",NA,2,FALSE,FALSE,"species","Petrogale xanthopus",1e-4,NA,NA,NA,NA,"not_in_toga",FALSE,TRUE,FALSE,2,2,2,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",FALSE,"no_annotation",2,2,"Diprotodontia"
"Osphranter rufus","Osphranter rufus",NA,NA,"-","LEAST CONCERN",4,"M/U/M/F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Osphranter_rufus","9321","kangurus rufus; Macropus rufus; Megaleia rufa; Kangurus rufus","mOspRuf","GCA_904811025.1",NA,"GCA_904811025.1",NA,"Osphranter","Macropodidae","Diprotodontia","Mammalia","Chordata","Metazoa","Eukaryota",3061140000,NA,3.130859375,20,10,"Contig",2221471,"2021-09-24",1110,1110,NA,NA,NA,"insdc_open",NA,"toga1","Red kangaroo,list(""common_name"")",2,FALSE,FALSE,"species","Osphranter rufus",1e-4,NA,NA,NA,"HLospRuf1","toga1",FALSE,TRUE,TRUE,4,4,4,0,0,TRUE,3,"Both",1,FALSE,FALSE,TRUE,TRUE,"tetrapod",TRUE,"TOGA",4,2,"Diprotodontia"
"Equus quagga chapmani","Equus quagga","chapmani",NA,"II?","NEAR THREATENED",3,"M/-/F","Mammalia","Fibro","X","X","X","X","X",NA,NA,"Equus quagga chapmani","Equus_quagga","89248","Equus burchellii quagga",NA,"GCA_021613505.1",NA,"GCA_021613505.1","GCF_021613505.1","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3481680000,NA,3.560546875,44,22,"Chromosome",2500914156,"2022-01-31",427941,122556673,22,NA,27599,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Equus quagga",1e-4,NA,NA,NA,"HLequQua2","toga1/2",TRUE,TRUE,TRUE,3,3,3,0,0,TRUE,6,"Both",1,TRUE,TRUE,FALSE,TRUE,"silencer",TRUE,"TOGA/refseq",3,2,"Perissodactyla"
"Ceratotherium simum","Ceratotherium simum",NA,NA,"I","NEAR THREATENED",3,"-/M/M","Mammalia","Fibro/PBMc",NA,"x","x","x","x",NA,"Blood",NA,"Ceratotherium_simum","9807","Rhinoceros simus; Ceratotherium simum simum; Rhinoceros burchellii; Rhinoceros camus","mCerSim",NA,NA,NA,NA,"Ceratotherium","Rhinocerotidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3266520000,NA,3.33984375,82,41,"Chromosome",2522777442,"2023-04-03",50391373,67555069,NA,NA,NA,"insdc_open",NA,"toga1/2",NA,2,FALSE,FALSE,"species","Ceratotherium simum",1e-4,NA,NA,NA,"HLcerSimuSim3","toga1/2",TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",2,2,"Perissodactyla"
"Equus przewalskii","Equus przewalskii",NA,NA,"I","ENDANGERED",1,"F","Mammalia","Fibro",NA,"X","X","X","X",NA,"Placenta/ Umbilical Cordon","Equus caballus przewalskii","Equus_przewalskii","9798","Equus caballus przewalskii; Equus ferus przewalskii","mEquPrz","GCA_037783145.1",NA,"GCA_037783145.1","GCF_037783145.1","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3481680000,NA,3.560546875,66,33,"Chromosome",2499640368,"2024-04-01",25995503,85145959,33,NA,28163,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Equus przewalskii",1e-4,NA,NA,NA,"HLequPrze2","toga1/2",TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/refseq",1,1,"Perissodactyla"
"Equus quagga burchelli","Equus quagga","burchelli",NA,"-","NEAR THREATENED",4,"F/M/F/M","Mammalia","Fibro",NA,"X",NA,"X","X",NA,"Tissue",NA,"Equus_quagga","89248","Equus burchellii quagga",NA,"GCA_021613505.1",NA,"GCA_021613505.1","GCF_021613505.1","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3481680000,NA,3.560546875,44,22,"Chromosome",2500914156,"2022-01-31",427941,122556673,22,NA,27599,"insdc_open",NA,"toga1/2",NA,2,TRUE,FALSE,"species","Equus quagga",1e-4,NA,NA,NA,"HLequQua2","toga1/2",TRUE,TRUE,TRUE,4,2,2,0,0,TRUE,6,"Both",1,TRUE,TRUE,FALSE,TRUE,"silencer",TRUE,"TOGA/refseq",2,2,"Perissodactyla"
"Equus caballus","Equus caballus",NA,NA,NA,"NA",1,"M","Mammalia","Fibro",NA,"X","X","X",NA,NA,"Tissue (ear)",NA,"Equus_caballus","9796","Equus przewalskii f. caballus; Equus przewalskii forma caballus; Equus asinus hippagrus; Equus caballus caballus; Equus caballus domesticus; Equus caballus fossilis; Equus caballus gallicus; Equus caballus germanicus; Equus caballus piveteaui; Equus ferus caballus; Equus hippagrus; Equus neogaeus; Equus neogeus; Hipphaplus bravardi; Hippidium neogaeum","mEquCab","GCA_041296265.1",NA,"GCA_041296265.1","GCF_041296265.1","Equus","Equidae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3110040000,NA,3.1796875,64,32,"Chromosome",2769438211,"2024-08-16",99223387,99223387,32,NA,NA,"insdc_open",NA,"toga1/2","Horse (domestic),list(""common_name"")",2,TRUE,TRUE,"species","Equus caballus",1e-4,NA,NA,NA,"HLequCaba5","toga1/2",TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,6,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA/refseq/ensembl",1,1,"Perissodactyla"
"Tapirus terrestris","Tapirus terrestris",NA,NA,"II","VULNERABLE",2,"M/F","Mammalia","Fibro",NA,NA,"X","X",NA,NA,"Tissue (skin)",NA,"Tapirus_terrestris","9801","Hippopotamus terrestris","mTapTer","GCA_054859495.1",NA,"GCA_054859495.1",NA,"Tapirus","Tapiridae","Perissodactyla","Mammalia","Chordata","Metazoa","Eukaryota",3696840000,NA,3.779296875,80,40,"Chromosome",2567765356,"2026-01-30",70378332,70378332,41,NA,NA,"published","ZOONOMIA","toga1/2","Lowland Tapir,list(""common_name"")",2,FALSE,FALSE,"species","Tapirus terrestris",1e-4,NA,NA,NA,"HLtapTer2","toga1/2",TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,6,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA",2,2,"Perissodactyla"
"Hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris",NA,"Hydrochoerinae","-","LEAST CONCERN",1,"M","Mammalia","Fibro",NA,"X","X","X","X",NA,"Tissue",NA,"Hydrochoerus_hydrochaeris","10149","Hydrochaeris hydrochaeris; Hydrochaerus hydrochaeris; Sus hydrochaeris; Capiguara americana; Cavia capybara; Hydrochaerus capybara; Hydrochoerus capybara; Hydrochoerus cololoi; Hydrochoerus hydrochoeris; Hydrochoerus irroratus; Hydrochoerus uruguayensis","mHydHyd","GCA_015741225.1",NA,"GCA_015741225.1",NA,"Hydrochoerus","Hydrochaeridae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3663832500,NA,3.689453125,64,27,"Chromosome",2590838763,"2019-01-16",78808,71052467,33,NA,NA,"published","ZOONOMIA","toga1/2",NA,2.3703703703703702,FALSE,FALSE,"species","Hydrochoerus hydrochaeris",1e-4,NA,NA,NA,"HLhydHyd2","toga1/2",TRUE,TRUE,TRUE,2,1,1,0,0,TRUE,7,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA",1,1,"Rodentia"
"Dolichotis patagonum","Dolichotis patagonum",NA,"Dolichotinae","-","NEAR THREATENED",3,"F/M/-","Mammalia","Fibro","X","X","X","X","x",NA,"Tissue",NA,"Dolichotis_patagonum","29091","Cavia patagonum","mDolPat","GCA_004027295.1",NA,"GCA_004027295.1",NA,"Dolichotis","Caviidae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3618600000,NA,3.69921875,64,32,"Scaffold",3289614431,"2019-01-16",27983,31026,NA,72.60000000000001,NA,"published","ZOONOMIA","toga1/2","Patagonian mara,list(""common_name"")",2,FALSE,FALSE,"species","Dolichotis patagonum",1e-4,NA,NA,NA,"HLdolPat1","toga1/2",TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,7,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA",2,2,"Rodentia"
"Eliomys quercinus","Eliomys quercinus",NA,"Leithiinae","-","NEAR THREATENED",1,"-","Mammalia","Fibro","X","X","X","X","X",NA,"Tissue",NA,"Eliomys_quercinus","53277","Mus quercinus; Eliomys cincticauda; Eliomys gotthardus; Eliomys gymnesicus; Eliomys hamiltoni; Eliomys hortualis; Eliomys jurassicus; Eliomys nitela; Eliomys nitela lusitanica; Eliomys ophiusae; Eliomys pallidus; Eliomys quercinus dichrurus; Eliomys quercinus gotthardus; Eliomys quercinus gymnesicus; Eliomys quercinus jurrasicus; Eliomys quercinus liparensis; Eliomys quercinus lusitanicus; Eliomys quercinus ophiusae; Eliomys quercinus quercinus; Eliomys quercinus raticus; Eliomys quercinus sardus; Eliomys quercinus superans; Eliomys quercinus valverdei; Eliomys sardus; Eliomys superans; Myoxus nitela; Myoxus nitela amori","mEliQue","GCA_051143605.1",NA,"GCA_051143605.1",NA,"Eliomys","Gliridae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3882659999,NA,3.970703125,48,24,"Chromosome",2391831224,"2025-06-30",51740598,108114398,25,NA,NA,"published","LOEWE-TBG","toga1/2",NA,2,FALSE,FALSE,"species","Eliomys quercinus",1e-4,NA,NA,NA,"HLeliQue1A","toga1/2",FALSE,TRUE,TRUE,1,1,1,0,0,TRUE,7,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",1,1,"Rodentia"
"Hystrix cristata","Hystrix cristata",NA,NA,"-","LEAST CONCERN",1,"F/M","Mammalia","Fibro",NA,"x","x",NA,"X",NA,"Tissue","Hystrix","Hystrix_cristata","10137",NA,"mHysCri","GCA_004026905.1",NA,"GCA_004026905.1",NA,"Hystrix","Hystricidae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3663832500,NA,3.689453125,48,24,"Scaffold",2470917678,"2019-01-16",57102,64768,NA,NA,NA,"published","ZOONOMIA","toga1/2",NA,2,FALSE,FALSE,"species","Hystrix cristata",1e-4,NA,NA,NA,"HLhysCri1","toga1/2",TRUE,TRUE,TRUE,2,2,2,0,0,TRUE,7,"Both",1,TRUE,TRUE,FALSE,FALSE,"silencer",TRUE,"TOGA",2,2,"Rodentia"
"Cynomys ludovicianus","Cynomys ludovicianus",NA,NA,NA,"LEAST CONCERN",3,"M/F/M","Mammalia","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Cynomys_ludovicianus","45480","Arctomys ludoviciana; Cynomys arizonensis; Cynomys cinereus; Cynomys grisea; Cynomys meadensis; Cynomys pyrrotrichus; Cynomys socialis; Monax missouriensis","mCynLud","GCA_052576455.1",NA,"GCA_052576455.1",NA,"Cynomys","Sciuridae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3882659999,NA,3.970703125,38,19,"Scaffold",2560959361,"2025-09-12",567348,1032944,NA,NA,NA,"insdc_open",NA,"toga2",NA,2,FALSE,FALSE,"species","Cynomys ludovicianus",1e-4,NA,NA,NA,"HLcynLudo1","toga2",FALSE,TRUE,TRUE,3,3,3,0,0,TRUE,7,"Both",1,FALSE,TRUE,FALSE,FALSE,"illumina",TRUE,"TOGA",3,2,"Rodentia"
"Rattus norvegicus","Rattus norvegicus",NA,NA,"-","LEAST CONCERN",1,"U","Mammalia","Fibro",NA,"X","X",NA,NA,NA,"Tissue","Rattus","Rattus_norvegicus","10116","Mus norvegicus; Epimys norvegicus socer; Mus caraco; Mus caspius; Mus decumanoides; Mus decumanus; Mus decumanus hybridus; Mus decumanus major; Mus griseipectus; Mus hibernicus; Mus humiliatus; Mus javanus; Mus magnirostris; Mus maniculatus; Mus maurus; Mus norvegicus praestans; Mus ouangthomae; Mus plumbeus; Mus surmolottus; Mus sylvaticus discolor; Mus tamarensis; Rattus decumanus; Rattus humiliatus insolatus; Rattus humiliatus sowerbyi; Rattus norvegicus albus; Rattus norvegicus otomoi; Rattus norvegicus primarius","mRatNor","GCA_015227675.2",NA,"GCA_015227675.2","GCF_015227675.2","Rattus","Muridae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3198060000,NA,3.26953125,42,21,"Chromosome",2647899415,"2024-01-31",29198295,135012528,22,96,27309,"published","DTOL","toga1/2","Rat,list(""common_name"")",2,TRUE,TRUE,"species","Rattus norvegicus",1e-4,NA,NA,NA,"HLratNor8","toga1/2",TRUE,TRUE,TRUE,1,1,1,0,0,TRUE,7,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq/ensembl",1,1,"Rodentia"
"Cavia porcellus","Cavia porcellus",NA,NA,NA,"LEAST CONCERN",2,"U/U","Mammalia","Fibro",NA,NA,NA,NA,NA,NA,"Tissue",NA,"Cavia_porcellus","10141","Cavia aperea porcellus; Cavia cobaya; Mus porcellus","mCavPor","GCA_000151735.1",NA,"GCA_000151735.1","GCF_000151735.1","Cavia","Caviidae","Rodentia","Mammalia","Chordata","Metazoa","Eukaryota",3696840000,NA,3.779296875,64,24,"Scaffold",2723202840,"2023-12-07",80583,27942054,NA,91.80000000000001,31557,"insdc_open",NA,"toga1/2","Domestic guinea pig,list(""common_name"")",2.6666666666666665,TRUE,TRUE,"species","Cavia porcellus",1e-4,NA,NA,NA,"HLcavPor4","toga1/2",TRUE,TRUE,TRUE,3,2,2,0,0,TRUE,7,"Both",1,FALSE,FALSE,TRUE,FALSE,"tetrapod",TRUE,"TOGA/refseq/ensembl",2,2,"Rodentia"
